Fig.3(a)
            invariant 
pT(GeV/c)   ixsection(mb)   stat      sys    
-----------------------------------------------------
3.50e-01    1.36e-02    4.45e-03    5.95e-03
4.50e-01    6.05e-03    1.70e-03    2.39e-03
5.50e-01    3.36e-03    7.56e-04    1.04e-03
6.50e-01    1.81e-03    3.98e-04    5.12e-04
7.50e-01    1.30e-03    2.28e-04    2.59e-04
8.50e-01    7.50e-04    1.35e-04    1.35e-04
9.50e-01    5.61e-04    9.14e-05    7.85e-05
1.10e+00    3.18e-04    3.77e-05    3.64e-05
1.30e+00    1.26e-04    2.10e-05    1.50e-05
1.50e+00    6.58e-05    1.25e-05    6.56e-06
1.70e+00    3.97e-05    2.07e-06    3.32e-06
1.90e+00    1.99e-05    1.18e-06    1.65e-06
2.10e+00    1.14e-05    7.44e-07    8.96e-07
2.30e+00    6.83e-06    4.96e-07    5.09e-07
2.50e+00    3.98e-06    3.63e-07    3.05e-07
2.70e+00    2.44e-06    6.49e-08    2.80e-07
2.90e+00    1.63e-06    4.77e-08    1.77e-07
3.10e+00    1.05e-06    3.53e-08    1.10e-07
3.30e+00    7.21e-07    2.73e-08    7.31e-08
3.50e+00    5.04e-07    2.15e-08    4.89e-08
3.70e+00    3.45e-07    1.70e-08    3.30e-08
3.90e+00    2.37e-07    1.36e-08    2.25e-08
4.25e+00    1.33e-07    5.95e-09    1.22e-08
4.75e+00    6.13e-08    3.73e-09    5.45e-09
5.50e+00    2.06e-08    1.79e-09    1.85e-09
6.50e+00    6.62e-09    9.26e-10    5.72e-10
7.50e+00    1.70e-09    5.73e-10    1.60e-10
8.50e+00    9.72e-10    5.16e-10    8.07e-11
